panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logFC,FDR,minus_log10_FDR,is_deg_by_threshold,DEG_direction,module_for_plot,label_for_plot
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000229,tatA,0.191136800723552,0.380462496394893,0.4196881468079634,False,not_DEG,Other,tatA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000230,hepA,-0.767382037357989,1.42108998481229e-05,4.847378421249084,False,not_DEG,Other,hepA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000231,tri,-0.63009619078519,0.0001948803376926,3.710231976492284,False,not_DEG,Other,tri
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000232,hsdM,0.269812855071761,0.059600859492791,1.22474747733552,False,not_DEG,Other,hsdM
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000233,yceF,0.45731585983582,0.106383159576896,0.9731271152897952,False,not_DEG,Other,yceF
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000234,cysK,-0.235483039889175,0.289977932070937,0.5376350515648037,False,not_DEG,Other,cysK
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000235,rpoD,2.20285390265828,9.619826282431179e-11,10.01683277050509,True,up,Flagellar / chemotaxis,rpoD
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000236,ykfC,-0.853121189768517,1.42114838169822e-05,4.84736057514186,False,not_DEG,Other,ykfC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000237,mutS,-0.516491466949133,0.0202932610075156,1.692648158793522,False,not_DEG,Other,mutS
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000238,hisIE,-0.803783501841244,0.0010575157246133,2.975713166211063,False,not_DEG,Other,hisIE
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000239,lpxC-fabZ,3.37417005970224,1.21630770430793e-12,11.9149565423511,True,up,Membrane maintenance,lpxC-fabZ
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000240,hchA,0.692914024928168,0.0029253368856458,2.533824112777632,False,not_DEG,Other,hchA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000241,lon,2.55023563620266,7.887510902256099e-12,11.10306002745793,True,up,Proteostasis,lon
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000242,bepA,1.43671847940922,1.67457911925597e-08,7.776094328420003,True,up,Proteostasis,bepA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000243,ctaB,0.526144894886614,0.0217382360955381,1.662775698752645,False,not_DEG,Other,ctaB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000245,coxAC,0.965187226680168,0.0002625148996722,3.580846042117907,False,not_DEG,Other,coxAC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000246,ybgC,0.767703695889688,0.0002161678170204,3.665208963161788,False,not_DEG,Other,ybgC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000247,tatD,0.259657651216938,0.196582218934909,0.706455767112643,False,not_DEG,Other,tatD
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000248,sucB,-0.201977251695056,0.198100725072903,0.7031139348875788,False,not_DEG,Other,sucB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000249,mgtE,0.113143198087716,0.495484266488745,0.3049701314624685,False,not_DEG,Other,mgtE
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000250,serB-plsC,0.156011078617303,0.510230221958991,0.2922338208314863,False,not_DEG,Other,serB-plsC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000251,troA,2.18173985257501,8.158508437926931e-10,9.088389232960402,True,up,Other,troA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000252,ssb,-0.639991403431502,0.0001182413343996,3.927230677738891,False,not_DEG,Other,ssb
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000253,cvrA,1.24412550986811,2.18495096845143e-07,6.660558304400611,True,up,ROS removal,cvrA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000254,ilvA,0.353089320439955,0.104126379375043,0.9824392323942628,False,not_DEG,Other,ilvA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000255,dapE,-0.106588403772822,0.372098008035724,0.4293426548949098,False,not_DEG,Other,dapE
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000256,topA,-0.19612358973057,0.0962169859559681,1.016748251706925,False,not_DEG,Other,topA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000257,gene3708,-0.278099073495112,0.112955059819815,0.947094310094597,False,not_DEG,Other,
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000258,rne,-0.386695009964707,0.0024639576440369,2.608366762059218,False,not_DEG,Other,rne
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000259,fdx,0.374856025066348,0.680272250972293,0.1673172440113561,False,not_DEG,Other,fdx
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000260,fixA,0.579225244928347,0.002040898578143,2.690178576884748,False,not_DEG,Other,fixA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000261,tuf,0.791730658644441,0.0012360714943593,2.907956408933482,False,not_DEG,Other,tuf
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000262,pepP,0.69342573471,2.97704513403541e-05,4.526214581102709,False,not_DEG,Other,pepP
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000263,TGL4,0.913108543395108,2.09462967086315e-05,4.678892748887314,False,not_DEG,Other,TGL4
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000264,gshB,-0.38951946266413,0.0067894731916652,2.168163922159664,False,not_DEG,Other,gshB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000265,lysA,0.202332106870566,0.151566233502144,0.8193975416926768,False,not_DEG,Other,lysA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000266,pcnB,0.188810362493844,0.231122945751567,0.6361569358770048,False,not_DEG,Other,pcnB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000267,umpA,2.34490190497212,8.350600514175559e-11,10.0782822921074,True,up,Membrane maintenance,umpA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000269,grxD,0.947699560555923,3.06752733446819e-06,5.513211558623515,False,not_DEG,Other,grxD
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000270,bolA,-0.297475718173773,0.165479949178044,0.7812546211563806,False,not_DEG,Other,bolA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000271,urtA,-0.6220833687337,0.0451613201998741,1.34523337084052,False,not_DEG,Other,urtA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000272,iclR,-0.265491738759426,0.0973348222939586,1.011731759684559,False,not_DEG,Other,iclR
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000273,amt,-0.412949363007146,0.0520843963574045,1.283292364816631,False,not_DEG,Other,amt
